epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,5379.99,0.67312,0.49821,1.05369,0.95227,0.94163,0.92589,0.78206,0.65744,0.48724,1.08896,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5475.32,0.66495,0.49799,1.05174,0.96814,0.93782,0.9334,0.79169,0.65597,0.49151,1.08748,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5568.23,0.66342,0.48461,1.04775,0.92725,0.94442,0.93801,0.79566,0.65517,0.4878,1.08532,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5663.03,0.66567,0.50071,1.04986,0.96945,0.94224,0.94261,0.79734,0.65818,0.48868,1.08878,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5757.08,0.6647,0.48642,1.05093,0.96915,0.94424,0.93519,0.79254,0.65431,0.48546,1.08762,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5851.1,0.6604,0.48372,1.04637,0.97251,0.93598,0.93348,0.78995,0.65334,0.47524,1.08578,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5944.14,0.65913,0.47678,1.04648,0.97704,0.94291,0.94276,0.79881,0.65522,0.48291,1.08669,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6036.68,0.66061,0.47521,1.04881,0.96917,0.93569,0.93711,0.79574,0.65736,0.48684,1.0877,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6130.6,0.65959,0.47705,1.04832,0.96774,0.94925,0.9421,0.79773,0.65623,0.4798,1.08603,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6224.98,0.65483,0.46697,1.04596,0.95846,0.95743,0.94259,0.79916,0.65469,0.48292,1.08592,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6321.22,0.6509,0.45969,1.04458,0.95816,0.94472,0.93158,0.78906,0.65829,0.48784,1.08858,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6416.09,0.65252,0.46495,1.04272,0.92297,0.94414,0.92715,0.78707,0.65374,0.49606,1.08492,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
